Time [ms],Date,Time,Rel.Time [s],Id,Name,Priority Old,Priority New,Phrase,State Old,State New
1604368442693,2020-11-03,01:54:02.693,36246,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604368450707,2020-11-03,01:54:10.707,36254,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604368453675,2020-11-03,01:54:13.675,36257,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604368461689,2020-11-03,01:54:21.689,36265,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604368467692,2020-11-03,01:54:27.692,36271,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604368477690,2020-11-03,01:54:37.690,36281,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604368479694,2020-11-03,01:54:39.694,36283,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604368492696,2020-11-03,01:54:52.696,36296,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604368502678,2020-11-03,01:55:02.678,36306,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604368603674,2020-11-03,01:56:43.674,36407,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1604368618661,2020-11-03,01:56:58.661,36422,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604368632658,2020-11-03,01:57:12.658,36436,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1604368648687,2020-11-03,01:57:28.687,36452,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604368649686,2020-11-03,01:57:29.686,36453,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604368676661,2020-11-03,01:57:56.661,36480,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604376546688,2020-11-03,04:09:06.688,44350,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604376553671,2020-11-03,04:09:13.671,44357,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604376563717,2020-11-03,04:09:23.717,44367,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604376626676,2020-11-03,04:10:26.676,44430,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604376629661,2020-11-03,04:10:29.661,44433,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604376633661,2020-11-03,04:10:33.661,44437,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604376634692,2020-11-03,04:10:34.692,44438,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604376653664,2020-11-03,04:10:53.664,44457,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604376715706,2020-11-03,04:11:55.706,44519,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604376735677,2020-11-03,04:12:15.677,44539,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1604376746667,2020-11-03,04:12:26.667,44550,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604376751666,2020-11-03,04:12:31.666,44555,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604376778663,2020-11-03,04:12:58.663,44582,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
